,Tow Date,Make,Style,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
1097,2019-03-12,VW,4D,DBL,AE71983,IL,701 N. Sacramento,(773) 265-7605,6953460
1099,2019-03-11,ACUR,LL,WHI,9847979,IL,701 N. Sacramento,(773) 265-7605,6953310
1100,2019-03-11,AUDI,4D,GRY,DL096A,IL,10300 S. Doty,(773) 568-8495,2872720
1101,2019-03-11,CHEV,2D,GRY,AM16898,IL,10300 S. Doty,(773) 568-8495,2872721
1102,2019-03-11,CHEV,4D,BLK,ZU33857,IL,10300 S. Doty,(773) 568-8495,2872716
1103,2019-03-11,CHEV,LL,BLK,BA45121,IL,701 N. Sacramento,(773) 265-7605,6953297
1104,2019-03-11,CHRY,VN,BLU,AG60743,IL,10300 S. Doty,(773) 568-8495,2872718
1105,2019-03-11,DODG,2D,SIL,AX21799,IL,10300 S. Doty,(773) 568-8495,2872759
1106,2019-03-11,DODG,4D,MAR,2BD9526,IL,701 N. Sacramento,(773) 265-7605,6953296
1107,2019-03-11,DODG,4D,BLU,BA18831,IL,10300 S. Doty,(773) 568-8495,2872773
1108,2019-03-11,DODG,LL,BLU,AS81379,IL,10300 S. Doty,(773) 785-9752,1719019
1109,2019-03-11,FORD,2D,SIL,BB31994,IL,10300 S. Doty,(773) 568-8495,2872753
1110,2019-03-11,FORD,2D,BLK,2472562,IL,10300 S. Doty,(773) 568-8495,2872730
1111,2019-03-11,FORD,4T,WHI,00214752,IL,10300 S. Doty,(773) 568-8495,2872769
1112,2019-03-11,FORD,LL,BLU,,IL,10300 S. Doty,(773) 568-8495,2872770
1113,2019-03-11,FRHT,SE,WHI,501490F,TX,10300 S. Doty,(773) 568-8495,2872755
1115,2019-03-11,HOND,2D,RED,,IL,10300 S. Doty,(773) 568-8495,2872715
1116,2019-03-11,HOND,2D,RED,BB25443,IL,701 N. Sacramento,(773) 265-7605,6953309
1118,2019-03-11,HOND,4D,SIL,BF17625,IL,10300 S. Doty,(773) 568-8495,2872771
1119,2019-03-11,HOND,VN,GRN,AH85787,IL,701 N. Sacramento,(773) 265-1846,1538469
1120,2019-03-11,HYUN,LL,RED,012XSR,KY,10300 S. Doty,(773) 568-8495,2872768
1121,2019-03-11,JEEP,LL,GRY,AY45046,IL,701 N. Sacramento,(773) 265-7605,6953369
1122,2019-03-11,JEEP,LL,WHI,288U086,IL,10300 S. Doty,(773) 568-8495,2872719
1123,2019-03-11,JEEP,LL,BLU,Z157359,IL,701 N. Sacramento,(773) 265-7605,6953368
1124,2019-03-11,LINC,4D,BLK,,IL,10300 S. Doty,(773) 568-8495,2872727
1125,2019-03-11,NISS,4D,TAN,ZX31439,IL,10300 S. Doty,(773) 785-9752,1719020
1126,2019-03-11,NISS,4D,SIL,344U428,IL,701 N. Sacramento,(773) 265-7605,6953295
1127,2019-03-11,NISS,4D,BLK,GVU199,MA,701 N. Sacramento,(773) 265-7605,6953363
1128,2019-03-11,NISS,4D,GRY,AK41349,IL,701 N. Sacramento,(773) 265-7605,6953308
1129,2019-03-11,NISS,4D,GLD,AT74700,IL,701 N. Sacramento,(773) 265-7605,6953370
1130,2019-03-11,NISS,4D,WHI,V568588,IL,701 N. Sacramento,(773) 265-7605,6953306
1131,2019-03-11,NISS,4D,BLK,BA61396,IL,10300 S. Doty,(773) 568-8495,2872767
1132,2019-03-11,OLDS,4D,GLD,AY12232,IL,10300 S. Doty,(773) 568-8495,2872757
1133,2019-03-11,PONT,2D,WHI,,IL,10300 S. Doty,(773) 568-8495,2872772
1134,2019-03-11,PONT,4D,SIL,AV90419,IL,10300 S. Doty,(773) 568-8495,2872750
1135,2019-03-11,PONT,4D,GRY,349899,IL,701 N. Sacramento,(773) 265-7605,6953286
1136,2019-03-11,PONT,4D,SIL,391U563,IL,10300 S. Doty,(773) 568-8495,2872763
1137,2019-03-11,SATR,4D,WHI,BE82717,IL,10300 S. Doty,(773) 568-8495,2872756
1138,2019-03-11,SATR,4D,WHI,977352,IL,10300 S. Doty,(773) 568-8495,2872729
1139,2019-03-11,TOYT,4D,SIL,BB86741,IL,701 N. Sacramento,(773) 265-7605,6953380
1140,2019-03-11,TOYT,4D,TAN,AP43552,IL,10300 S. Doty,(773) 568-8495,2872712
1141,2019-03-11,TOYT,4D,GRY,2019707,IL,701 N. Sacramento,(773) 265-7605,6953360
1143,2019-03-11,VOLV,4D,SIL,,IL,400 E. Lower Wacker,(312) 744-7550,200602
1144,2019-03-1,BUIC,4D,BLK,AB54555,IL,10300 S. Doty,(773) 568-8495,2872693
1145,2019-03-1,BUIC,4D,TAN,BA25988,CA,701 N. Sacramento,(773) 265-7605,6953134
1146,2019-03-1,CADI,2D,WHI,AZ26195,IL,10300 S. Doty,(773) 568-8495,2872705
1147,2019-03-1,CHEV,4D,WHI,BB188833,IL,10300 S. Doty,(773) 568-8495,2872632
1148,2019-03-1,CHEV,4D,GRY,BE89293,IL,10300 S. Doty,(773) 568-8495,2872699
1149,2019-03-1,CHEV,4D,GRY,810ZXD,IN,10300 S. Doty,(773) 568-8495,2872680
1150,2019-03-1,CHEV,4D,BLK,,IL,10300 S. Doty,(773) 568-8495,2872692
1151,2019-03-1,CHEV,PK,BRO,1240631,IL,701 N. Sacramento,(773) 265-7605,6953285
1152,2019-03-1,CHRY,2D,WHI,BK22852,IL,10300 S. Doty,(773) 568-8495,2872700
1153,2019-03-1,CHRY,4D,BLK,BE22529,IL,701 N. Sacramento,(773) 265-7605,6953283
1154,2019-03-1,CHRY,VN,BGE,BE18866,IL,10300 S. Doty,(773) 568-8495,2872634
1155,2019-03-1,DODG,4D,GRY,514U813,IL,10300 S. Doty,(773) 568-8495,2872697
1156,2019-03-1,DODG,4D,BLU,AS71636,IL,701 N. Sacramento,(773) 265-7605,6953154
1157,2019-03-1,DODG,VN,TAN,AQ72798,IL,701 N. Sacramento,(773) 265-7605,6953159
1158,2019-03-1,FORD,2D,BLU,Z721837,IL,10300 S. Doty,(773) 568-8495,2872703
1159,2019-03-1,FORD,4D,SIL,BA44769,IL,701 N. Sacramento,(773) 265-7605,6953268
1160,2019-03-1,FORD,4D,TAN,K109126,IL,701 N. Sacramento,(773) 265-7605,6953276
1161,2019-03-1,FORD,4D,BGE,AB47696,IL,10300 S. Doty,(773) 568-8495,2872639
1162,2019-03-1,FORD,4D,BLU,BE20933,IL,701 N. Sacramento,(773) 265-7605,6953278
1163,2019-03-1,FORD,4D,BLK,AR12263,IL,701 N. Sacramento,(773) 265-7605,6953142
1164,2019-03-1,FORD,4D,SIL,CFJ4349,MI,10300 S. Doty,(773) 568-8495,2872704
1165,2019-03-1,FORD,LL,RED,BB30868,IL,10300 S. Doty,(773) 568-8495,2872698
1166,2019-03-1,FORD,LL,WHI,AJ28925,AZ,10300 S. Doty,(773) 568-8495,2872694
1167,2019-03-1,GMC,LL,BLK,AF33133,IL,10300 S. Doty,(773) 568-8495,2872688
1168,2019-03-1,HOND,4D,SIL,Z830335,IL,701 N. Sacramento,(773) 265-7605,6953279
1170,2019-03-1,HYUN,4D,SIL,Z691983,IL,701 N. Sacramento,(773) 265-7605,6953264
1171,2019-03-1,HYUN,4D,GRY,BB26964,IL,10300 S. Doty,(773) 568-8495,2872635
1172,2019-03-1,KIA,LL,SIL,ABY7202,WI,701 N. Sacramento,(773) 265-7605,6953127
1173,2019-03-1,KIA,LL,BLK,BF77053,IL,701 N. Sacramento,(773) 265-7605,6953275
1174,2019-03-1,LEXS,4D,BLU,AR17019,IL,10300 S. Doty,(773) 568-8495,2872633
1175,2019-03-1,LEXS,4D,BLU,E913120,IL,701 N. Sacramento,(773) 265-7605,6953150
1176,2019-03-1,MITS,4D,GRY,BA26647,IL,10300 S. Doty,(773) 568-8495,2872626
1177,2019-03-1,NISS,4D,GRY,BF22623,IL,10300 S. Doty,(773) 568-8495,2872637
1178,2019-03-1,NISS,4D,GRY,521U557,IL,10300 S. Doty,(773) 568-8495,2872708
1179,2019-03-1,NISS,4D,GRY,874109,IL,10300 S. Doty,(773) 568-8495,2872638
1180,2019-03-1,NISS,LL,SIL,ZV99001,IL,701 N. Sacramento,(773) 265-7605,6953137
1181,2019-03-1,PONT,2D,RED,BA29131,IL,701 N. Sacramento,(773) 265-7605,6953111
1182,2019-03-1,SATU,4D,GRY,H340842,IL,701 N. Sacramento,(773) 265-7605,6953148
1184,2019-03-1,TOYT,2D,SIL,AQ47712,IL,10300 S. Doty,(773) 568-8495,2872701
1185,2019-03-1,TOYT,2D,GLD,AJ79305,IL,701 N. Sacramento,(773) 265-7605,6953129
1187,2019-03-1,TOYT,2D,GRY,357989,IL,701 N. Sacramento,(773) 265-7605,6953135
1188,2019-03-1,TOYT,4D,BLK,Z681297,IL,400 E. Lower Wacker,(312) 744-7550,200575
1189,2019-03-1,TOYT,4D,SIL,S317363,IL,701 N. Sacramento,(773) 265-7605,6953266
1190,2019-03-1,TOYT,4D,BLU,AR20848,IL,701 N. Sacramento,(773) 265-7605,6953128
1191,2019-03-1,TOYT,4D,GRY,BB36830,IL,701 N. Sacramento,(773) 265-7605,6953125
1192,2019-03-1,TOYT,LL,SIL,AK27644,IL,701 N. Sacramento,(773) 265-7605,6953139
1193,2019-03-1,TOYT,VN,BGE,BA42511,IL,701 N. Sacramento,(773) 265-7605,6953284
1195,2019-03-1,VW,4D,BLK,R933527,IL,701 N. Sacramento,(773) 265-7605,6953272
1196,2019-03-09,AUDI,2D,BLK,AU48056,IL,701 N. Sacramento,(773) 265-7605,6953042
1197,2019-03-09,BUIC,4D,BLU,AL24572,IL,701 N. Sacramento,(773) 265-7605,6953069
1198,2019-03-09,BUIC,4D,BLK,AV40878,IL,701 N. Sacramento,(773) 265-7605,6952944
1199,2019-03-09,BUIC,4D,SIL,670U367,IL,10300 S. Doty,(773) 568-8495,2872603
1200,2019-03-09,CADI,4D,WHI,AV84259,IL,701 N. Sacramento,(773) 265-7605,6943048
1201,2019-03-09,CADI,4D,GLD,DL6284E,IL,701 N. Sacramento,(773) 265-7605,6953086
1202,2019-03-09,CHEV,2D,BLK,N219292,IL,10300 S. Doty,(773) 568-8495,2872605
1203,2019-03-09,CHEV,2D,MAR,800HAM,IN,10300 S. Doty,(773) 568-8495,2872561
1204,2019-03-09,CHEV,4D,WHI,AH18987,IL,10300 S. Doty,(773) 568-8495,2872608
1205,2019-03-09,CHEV,4D,RED,214MDB,IN,10300 S. Doty,(773) 568-8495,2872545
1206,2019-03-09,CHEV,4D,BLU,BE24081,IL,701 N. Sacramento,(773) 265-7605,6952921
1207,2019-03-09,CHEV,4D,SIL,L758449,IL,10300 S. Doty,(773) 568-8495,2872560
1208,2019-03-09,CHEV,4D,RED,AL82217,IL,10300 S. Doty,(773) 568-8495,2872576
1209,2019-03-09,CHEV,4D,GRY,AZ70805,IL,701 N. Sacramento,(773) 265-7605,6952906
1210,2019-03-09,CHEV,4D,MAR,ITSOK,IL,10300 S. Doty,(773) 568-8495,2872594
1211,2019-03-09,CHEV,4D,TAN,BE20938,IL,701 N. Sacramento,(773) 265-7605,6953055
1212,2019-03-09,CHEV,DP,WHI,81849F,IL,701 N. Sacramento,(773) 265-7605,6952926
1213,2019-03-09,CHEV,LL,GRY,5F67J4,TN,701 N. Sacramento,(773) 265-7605,6953074
1214,2019-03-09,CHEV,LL,GRN,,IL,701 N. Sacramento,(773) 265-7605,6953084
1215,2019-03-09,CHEV,LL,BRO,AV76118,IL,10300 S. Doty,(773) 568-8495,2872559
1216,2019-03-09,CHEV,VN,WHI,163875H,IL,10300 S. Doty,(773) 568-8495,2872606
1217,2019-03-09,CHRY,4D,SIL,BA25596,IL,701 N. Sacramento,(773) 265-7605,6953077
1218,2019-03-09,CHRY,VN,GLD,S138782,IL,701 N. Sacramento,(773) 265-7605,6953054
1219,2019-03-09,CHRY,VN,COM,AW31260,IL,701 N. Sacramento,(773) 265-7605,6953070
1220,2019-03-09,DODG,4D,BLU,AW33377,IL,701 N. Sacramento,(773) 265-7605,6953067
1221,2019-03-09,DODG,VN,WHI,,IL,10300 S. Doty,(773) 568-8495,2872548
1222,2019-03-09,DODG,VN,RED,Q152185,IL,701 N. Sacramento,(773) 265-7605,6953043
1223,2019-03-09,FORD,4D,TAN,S230362,IL,701 N. Sacramento,(773) 265-7605,6952949
1224,2019-03-09,FORD,4D,GRY,AF63011,IL,701 N. Sacramento,(773) 265-7605,6952917
1225,2019-03-09,FORD,4D,TAN,H899920,IL,701 N. Sacramento,(773) 265-7605,6953092
1226,2019-03-09,FORD,LL,WHI,AD70275,IL,10300 S. Doty,(773) 568-8495,2872565
1227,2019-03-09,FORD,LL,WHI,MAY12,IL,701 N. Sacramento,(773) 265-7605,6953085
1228,2019-03-09,FORD,LL,BLU,AN26081,IL,701 N. Sacramento,(773) 265-7605,6952931
1229,2019-03-09,FORD,LL,WHI,BA81178,IL,701 N. Sacramento,(773) 265-7605,6953050
1230,2019-03-09,FORD,LL,BLU,Q898515,IL,701 N. Sacramento,(773) 265-7605,6953068
1231,2019-03-09,FORD,VC,WHI,Q513787,IL,701 N. Sacramento,(773) 265-7605,6952932
1232,2019-03-09,FORD,VN,ONG,2054191B,IL,10300 S. Doty,(773) 568-8495,2872564
1233,2019-03-09,GMC,LL,GRN,AD59478,IL,701 N. Sacramento,(773) 265-7605,6953104
1234,2019-03-09,HOND,2D,SIL,P700377,IL,701 N. Sacramento,(773) 265-7605,6952936
1235,2019-03-09,HOND,2D,SIL,AG82329,IL,10300 S. Doty,(773) 568-8495,2872568
1236,2019-03-09,HOND,2D,BLK,AD56867,IL,701 N. Sacramento,(773) 265-7605,6952950
1237,2019-03-09,HOND,2D,WHI,AX25782,IL,10300 S. Doty,(773) 568-8495,2872544
1238,2019-03-09,HYUN,4D,RED,BA23070,IL,701 N. Sacramento,(773) 265-7605,6952914
1239,2019-03-09,HYUN,LL,BLK,631U052,IL,10300 S. Doty,(773) 568-8495,2872569
1240,2019-03-09,INFI,4D,SIL,431761D,IL,701 N. Sacramento,(773) 265-7605,6953097
1241,2019-03-09,JEEP,4D,RED,KSEJODA,IN,10300 S. Doty,(773) 568-8495,2872563
1242,2019-03-09,JEEP,LL,BLU,AW18377,IL,701 N. Sacramento,(773) 265-7605,6953071
1243,2019-03-09,JEEP,LL,BLU,AQ40163,IL,701 N. Sacramento,(773) 265-7605,6952905
1244,2019-03-09,JEEP,LL,GRN,,IL,701 N. Sacramento,(773) 265-7605,6953035
1245,2019-03-09,JEEP,LL,WHI,AG46874,IL,701 N. Sacramento,(773) 265-7605,6953083
1246,2019-03-09,JEEP,LL,BLU,V526774,IL,701 N. Sacramento,(773) 265-7605,6952918
1247,2019-03-09,KIA,4D,RED,AM78406,IL,701 N. Sacramento,(773) 265-7605,6953058
1248,2019-03-09,KIA,4D,GRY,AG33005,IL,701 N. Sacramento,(773) 265-7605,6953065
1249,2019-03-09,LEXS,4D,WHI,Q928690,IL,701 N. Sacramento,(773) 265-7605,6953072
1250,2019-03-09,LEXS,4D,BLK,BA93592,IL,10300 S. Doty,(773) 568-8495,2872604
1251,2019-03-09,LEXS,4D,DBL,ZU16562,IL,701 N. Sacramento,(773) 265-7605,6952919
1252,2019-03-09,MAZD,4D,BLK,AQ49153,IL,10300 S. Doty,(773) 568-8495,2872607
1253,2019-03-09,MAZD,4D,GRY,AV17168,IL,701 N. Sacramento,(773) 265-7605,6953051
1254,2019-03-09,MERC,4D,BLK,601U163,IL,701 N. Sacramento,(773) 265-7605,6952990
1255,2019-03-09,MERC,4D,GRY,6953064,IL,701 N. Sacramento,(773) 265-7605,6953064
1256,2019-03-09,MERC,4D,TAN,,IL,10300 S. Doty,(773) 568-8495,2872614
1257,2019-03-09,MERC,4D,BLK,ROEYAH,IL,701 N. Sacramento,(773) 265-7605,6953036
1258,2019-03-09,MERC,4D,BLK,BE90106,IL,701 N. Sacramento,(773) 265-7605,6953037
1259,2019-03-09,MITS,LL,WHI,AY77742,IL,701 N. Sacramento,(773) 265-7605,6953057
1260,2019-03-09,MITS,LL,WHI,BD96635,IL,701 N. Sacramento,(773) 265-7605,6952939
1261,2019-03-09,NISS,4D,RED,Q580369,IL,701 N. Sacramento,(773) 265-7605,6953062
1262,2019-03-09,NISS,4D,BLU,AN18303,IL,10300 S. Doty,(773) 568-8495,2872557
1263,2019-03-09,NISS,4D,RED,Q612369,IL,701 N. Sacramento,(773) 265-7605,6953047
1264,2019-03-09,NISS,4D,BLK,Q596808,IL,701 N. Sacramento,(773) 265-7605,6952938
1265,2019-03-09,NISS,4D,SIL,ZU34203,IL,10300 S. Doty,(773) 568-8495,2872546
1266,2019-03-09,OLDS,4D,BLU,BA33863,IL,701 N. Sacramento,(773) 265-7605,6953076
1267,2019-03-09,PLYM,VN,TAN,708112,IL,701 N. Sacramento,(773) 265-7605,6953079
1268,2019-03-09,PONT,4D,WHI,AS87165,IL,701 N. Sacramento,(773) 265-7605,6952927
1269,2019-03-09,PONT,4D,GRY,AW91662,IL,701 N. Sacramento,(773) 265-7605,6953052
1270,2019-03-09,PONT,4D,BLK,,IL,10300 S. Doty,(773) 568-8495,2872599
1271,2019-03-09,PONT,4D,WHI,19982T9,TX,10300 S. Doty,(773) 568-8495,2872598
1272,2019-03-09,PONT,4D,RED,BE86729,IL,10300 S. Doty,(773) 568-8495,2872550
1273,2019-03-09,PONT,4D,GRY,AW91662,IL,701 N. Sacramento,(773) 265-7605,6953052
1274,2019-03-09,PONT,LL,GRY,AS70294,IL,701 N. Sacramento,(773) 265-7605,6953053
1275,2019-03-09,ROV,LL,BLK,AP37018,IL,10300 S. Doty,(773) 568-8495,2872597
1276,2019-03-09,TOYT,4D,RED,DNJ0875,MI,701 N. Sacramento,(773) 265-7605,6953004
1277,2019-03-09,TOYT,4D,GRY,Q636135,IL,701 N. Sacramento,(773) 265-7605,6953041
1278,2019-03-09,TOYT,4D,GRY,BE21096,IL,701 N. Sacramento,(773) 265-7605,6953066
1279,2019-03-09,TOYT,LL,GRY,1695609,IL,701 N. Sacramento,(773) 265-7605,6953073
1280,2019-03-09,TOYT,VN,BLU,,IL,701 N. Sacramento,(773) 265-7605,6952916
1281,2019-03-09,VW,4D,GRY,,IL,701 N. Sacramento,(773) 265-7605,6952941
1282,2019-03-09,VW,4D,BLU,AJ26973,IL,701 N. Sacramento,(773) 265-7605,6953075
1283,2019-03-09,VW,4D,BLU,AP46247,IL,10300 S. Doty,(773) 568-8495,2872602
1284,2019-03-09,VOLV,4D,BLK,AMU707,IN,10300 S. Doty,(773) 568-8495,2872611
1285,2019-03-09,VOLV,LL,SIL,AQ46855,IL,701 N. Sacramento,(773) 265-7605,6952925
1286,2019-03-08,ACUR,2D,WHI,AU28256,IL,10300 S. Doty,(773) 568-8495,2872538
1287,2019-03-08,BUIC,4D,WHI,BA40916,IL,701 N. Sacramento,(773) 265-7605,6952750
1288,2019-03-08,BUIC,4D,GRY,216U213,IL,701 N. Sacramento,(773) 265-7605,6952894
1289,2019-03-08,BUIC,4D,GRY,E392937,IL,10300 S. Doty,(773) 785-9752,1719015
1290,2019-03-08,CADI,4D,BLK,AJ16921,IL,701 N. Sacramento,(773) 265-7605,6952749
1291,2019-03-08,CADI,4D,WHI,AS69336,IL,10300 S. Doty,(773) 568-8495,2872484
1292,2019-03-08,CADI,4T,BLK,,IL,701 N. Sacramento,(773) 265-7605,6952753
1293,2019-03-08,CHEV,2D,PLE,5833777,IL,701 N. Sacramento,(773) 265-7605,6952774
1294,2019-03-08,CHEV,2D,BLK,AM24645,IL,701 N. Sacramento,(773) 265-7605,6952856
1295,2019-03-08,CHEV,4D,SIL,367513,IL,701 N. Sacramento,(773) 265-7605,6952841
1296,2019-03-08,CHEV,4D,SIL,,IL,10300 S. Doty,(773) 568-8495,2872532
1297,2019-03-08,CHEV,4D,BLU,843739,IL,701 N. Sacramento,(773) 265-7605,6952859
1298,2019-03-08,CHEV,4D,WHI,BE17430,IL,701 N. Sacramento,(773) 265-7605,6952887
1299,2019-03-08,CHEV,4D,WHI,,IL,10300 S. Doty,(773) 568-8495,2872541
1300,2019-03-08,CHEV,4D,BLK,,IL,701 N. Sacramento,(773) 265-7605,6952882
1301,2019-03-08,CHEV,4D,RED,BA41708,IL,701 N. Sacramento,(773) 265-7605,6952891
1302,2019-03-08,CHEV,LL,SIL,ZZ42735,IL,701 N. Sacramento,(773) 265-7605,6952881
1303,2019-03-08,CHEV,LL,BLU,AX29739,IL,701 N. Sacramento,(773) 265-7605,6952863
1304,2019-03-08,CHEV,LL,GRN,AN21242,IL,701 N. Sacramento,(773) 265-7605,6952751
1305,2019-03-08,CHEV,PK,RED,2431982B,IL,701 N. Sacramento,(773) 265-7605,6952840
1306,2019-03-08,CHEV,PK,RED,2473769B,IL,701 N. Sacramento,(773) 265-7605,6952835
1307,2019-03-08,CHEV,VN,WHI,317XYE,WI,701 N. Sacramento,(773) 265-1846,1538465
1308,2019-03-08,CHEV,VN,BLU,,IL,10300 S. Doty,(773) 568-8495,2872522
1309,2019-03-08,CHRY,2D,WHI,K286929,IN,701 N. Sacramento,(773) 265-7605,6952756
1310,2019-03-08,CHRY,4D,RED,530795,IL,10300 S. Doty,(773) 568-8495,2872534
1311,2019-03-08,CHRY,4D,BLK,Q322149,IL,10300 S. Doty,(773) 568-8495,2872498
1312,2019-03-08,CHRY,LL,SIL,AN76587,IL,701 N. Sacramento,(773) 265-7605,6952830
1313,2019-03-08,DODG,4T,GRY,710154,IL,701 N. Sacramento,(773) 265-7605,6952737
1314,2019-03-08,DODG,VN,BLU,AT77890,IL,10300 S. Doty,(773) 568-8495,2872486
1315,2019-03-08,DODG,VN,GRN,AS63408,IL,701 N. Sacramento,(773) 265-7605,6952855
1316,2019-03-08,DODG,VN,BLU,,IL,701 N. Sacramento,(773) 265-7605,6952746
1317,2019-03-08,FORD,4D,GRY,V847127,IL,701 N. Sacramento,(773) 265-7605,6952843
1318,2019-03-08,FORD,4D,WHI,P253145,IL,701 N. Sacramento,(773) 265-7605,6952775
1319,2019-03-08,FORD,4D,BLU,ALZ715,IN,10300 S. Doty,(773) 568-8495,2872523
1320,2019-03-08,FORD,4D,TAN,387U733,IL,10300 S. Doty,(773) 568-8495,2872495
1321,2019-03-08,FORD,4D,TAN,AT31924,IL,701 N. Sacramento,(773) 265-7605,6952902
1322,2019-03-08,FORD,4D,BLK,ZU90187,IL,701 N. Sacramento,(773) 265-7605,6952880
1323,2019-03-08,FORD,4D,MAR,532U265,IL,701 N. Sacramento,(773) 265-7605,6952850
1324,2019-03-08,FORD,VN,TAN,ZQ75172,IL,701 N. Sacramento,(773) 265-7605,6952773
1325,2019-03-08,FORD,VN,TAN,V182593,IL,10300 S. Doty,(773) 568-8495,2872535
1326,2019-03-08,FORD,VN,WHI,TK457NNV,IN,701 N. Sacramento,(773) 265-7605,6952730
1327,2019-03-08,GMC,LL,RED,AS82419,IL,701 N. Sacramento,(773) 265-7605,6952822
1328,2019-03-08,GMC,PK,BLU,1967266B,IL,701 N. Sacramento,(773) 265-7605,6952836
1329,2019-03-08,HOND,2D,GRY,,IL,701 N. Sacramento,(773) 265-1846,1538467
1330,2019-03-08,HOND,2D,GRY,84B6468,TX,701 N. Sacramento,(773) 265-1846,1538466
1331,2019-03-08,HOND,4D,SIL,,IL,10300 S. Doty,(773) 568-8495,2872494
1332,2019-03-08,HOND,4D,RED,AN56307,IL,701 N. Sacramento,(773) 265-7605,6952870
1333,2019-03-08,HOND,4D,GRN,AJ82250,IL,701 N. Sacramento,(773) 265-7605,6952857
1334,2019-03-08,HOND,4D,BLU,Q707593,IL,701 N. Sacramento,(773) 265-7605,6952778
1335,2019-03-08,HOND,VN,GLD,Q502378,IL,701 N. Sacramento,(773) 265-7605,6952868
1336,2019-03-08,HYUN,4D,GRY,FFX1193,NC,400 E. Lower Wacker,(312) 744-7550,200516
1337,2019-03-08,HYUN,4D,BLU,AQ63929,IL,701 N. Sacramento,(773) 265-7605,6952831
1338,2019-03-08,HYUN,4D,GRY,AX69092,IL,701 N. Sacramento,(773) 265-7605,6952851
1339,2019-03-08,HYUN,4D,GRY,9887909,IL,701 N. Sacramento,(773) 265-7605,6952896
1340,2019-03-08,HYUN,4T,SIL,R828469,IL,701 N. Sacramento,(773) 265-7605,6952752
1341,2019-03-08,INFI,LL,GRY,,IL,10300 S. Doty,(773) 568-8495,2872481
1343,2019-03-08,JEEP,LL,RED,AT58231,IL,701 N. Sacramento,(773) 265-7605,6952823
1344,2019-03-08,JEEP,LL,GRY,Q881183,IL,701 N. Sacramento,(773) 265-7605,6952846
1345,2019-03-08,JEEP,LL,BLK,Z634445,IL,701 N. Sacramento,(773) 265-7605,6952858
1346,2019-03-08,KIA,4D,BGE,,IL,701 N. Sacramento,(773) 265-7605,6952852
1347,2019-03-08,LAND,LL,BLU,7YAH476,CA,701 N. Sacramento,(773) 265-7605,6952885
1348,2019-03-08,LINC,LL,SIL,AX32775,IL,701 N. Sacramento,(773) 265-7605,6952755
1349,2019-03-08,MERC,2D,GRY,AX19095,IL,10300 S. Doty,(773) 568-8495,2872490
1350,2019-03-08,MERC,4D,SIL,BE76627,IL,10300 S. Doty,(773) 568-8495,2872528
1351,2019-03-08,MERC,4D,TAN,Z509639,IL,701 N. Sacramento,(773) 265-7605,6952741
1352,2019-03-08,MERC,LL,BLK,287U316,IL,10300 S. Doty,(773) 568-8495,2872520
1353,2019-03-08,MITS,4D,SIL,656RAR,IN,701 N. Sacramento,(773) 265-7605,6952888
1354,2019-03-08,MITS,4D,BGE,281304,IL,701 N. Sacramento,(773) 265-7605,6952765
1355,2019-03-08,NISS,4D,GRY,BG55843,IL,10300 S. Doty,(773) 568-8495,2872478
1356,2019-03-08,NISS,4D,GRY,V564697,IL,10300 S. Doty,(773) 568-8495,2872525
1357,2019-03-08,NISS,4D,BGE,AY71034,IL,701 N. Sacramento,(773) 265-7605,6952838
1358,2019-03-08,NISS,4T,GRY,E196823,IL,701 N. Sacramento,(773) 265-7605,6952767
1359,2019-03-08,NISS,4T,SIL,ZX77554,IL,701 N. Sacramento,(773) 265-7605,6952754
1360,2019-03-08,NISS,4T,RED,K944207,IL,10300 S. Doty,(773) 568-8495,2872477
1361,2019-03-08,NISS,LL,GRY,AZ35265,IL,701 N. Sacramento,(773) 265-7605,6952872
1362,2019-03-08,PONT,4D,BLK,Z294469,IL,701 N. Sacramento,(773) 265-7605,6952860
1363,2019-03-08,PONT,4D,BLK,BE24412,IL,701 N. Sacramento,(773) 265-7605,6952766
1364,2019-03-08,PONT,4D,TAN,,IL,701 N. Sacramento,(773) 265-7605,6952884
1365,2019-03-08,PONT,4D,WHI,,IL,10300 S. Doty,(773) 568-8495,2872518
1366,2019-03-08,PONT,4D,SIL,KBN4591,TX,10300 S. Doty,(773) 568-8495,2872533
1367,2019-03-08,PONT,VN,WHI,BE87814,IL,701 N. Sacramento,(773) 265-7605,6952771
1368,2019-03-08,SCIO,4H,GRY,N812353,IL,400 E. Lower Wacker,(312) 744-7550,200519
1369,2019-03-08,TOYT,4D,WHI,Q528319,IL,701 N. Sacramento,(773) 265-7605,1538463
1370,2019-03-08,TOYT,4D,BLK,AS69314,IL,10300 S. Doty,(773) 568-8495,2872536
1371,2019-03-08,TOYT,4D,GRY,347424,IL,10300 S. Doty,(773) 568-8495,2872476
1373,2019-03-08,TOYT,4T,GRY,524U106,IL,10300 S. Doty,(773) 568-8495,2872479
1374,2019-03-08,TOYT,VN,GRY,Y749821,IL,701 N. Sacramento,(773) 265-7605,6952864
1375,2019-03-08,TOYT,VN,BLK,AT90810,IL,701 N. Sacramento,(773) 265-7605,6952873
1376,2019-03-08,VW,4D,GRY,AL71875,IL,701 N. Sacramento,(773) 265-7605,6952761
